Incident ID,Short Description,Description,Priority,Severity,Status,Category,Subcategory,Opened Date,Resolved Date,Resolution Time (hours),Assigned Group,Assigned To,Affected CI,Impact,Resolution Notes,Knowledge Article Created,Reopened Count,Root Cause,Service Offering,SLA Met
INC0001,"Application Outage","Critical banking application completely unavailable for all users",1,1,Resolved,"Application","Availability","2024-01-05 08:23:15","2024-01-05 11:45:32",3.37,"Application Support","John Smith","Banking Portal Server","Entire Organization","Identified memory leak in application server. Restarted service and applied emergency patch.","Yes",0,"Software Bug","Banking Core Services","Yes"
INC0002,"Database Performance","Database queries timing out causing transaction failures",1,2,Resolved,"Database","Performance","2024-01-12 13:15:45","2024-01-12 18:30:22",5.24,"Database Team","Alice Johnson","Primary SQL Cluster","Multiple Departments","Identified missing index causing table scans. Added index and optimized query performance.","Yes",0,"Configuration","Banking Core Services","No"
INC0003,"Network Connectivity","Users unable to connect to internal applications",1,1,Resolved,"Network","Connectivity","2024-01-18 09:35:28","2024-01-18 12:15:10",2.66,"Network Operations","Robert Williams","Core Switch 01","Entire Organization","Failed network switch caused connectivity issues. Replaced faulty hardware.","Yes",0,"Hardware Failure","Network Infrastructure","Yes"
INC0004,"Security Alert","Suspicious login attempts detected from unusual location",2,1,Resolved,"Security","Authentication","2024-01-25 15:45:22","2024-01-25 17:30:45",1.75,"Security Team","Emma Davis","Identity Management System","Single User","Identified compromised credentials. Reset password and enabled additional authentication factors.","Yes",0,"Security Breach","Identity Access Management","Yes"
INC0005,"Email Delivery Delay","Marketing emails delayed by more than 4 hours",3,3,Resolved,"Email","Delivery","2024-01-30 11:20:15","2024-01-30 14:45:30",3.42,"Messaging Team","Michael Brown","Exchange Server","Single Department","Mail queue backlog due to large attachment. Cleared queue and applied size limit policy.","No",0,"Capacity","Communication Services","Yes"
INC0006,"Payment Processing Error","Credit card transactions failing with error code E-502",1,1,Resolved,"Application","Functionality","2024-02-03 14:30:45","2024-02-03 17:15:20",2.74,"Payment Systems","Sarah Johnson","Payment Gateway","Multiple Departments","API endpoint change by payment provider. Updated configuration to use new endpoint.","Yes",1,"External Dependency","Payment Processing","No"
INC0007,"Report Generation Failure","Monthly financial reports not generating correctly",2,2,Resolved,"Application","Reporting","2024-02-08 09:15:30","2024-02-08 13:45:22",4.50,"Application Support","David Wilson","Reporting Server","Single Department","Data source connection timeout. Increased connection timeout parameter.","No",0,"Configuration","Financial Services","Yes"
INC0008,"VPN Connection Issue","Remote users unable to establish VPN connection",1,2,Resolved,"Network","VPN","2024-02-15 08:05:15","2024-02-15 10:30:45",2.42,"Network Operations","Jennifer Lee","VPN Gateway","Multiple Departments","Certificate expiration. Renewed and deployed new certificate.","Yes",0,"Certificate Management","Remote Access Services","Yes"
INC0009,"Printer Offline","Executive floor printer not responding",4,3,Resolved,"Hardware","Printing","2024-02-20 13:25:40","2024-02-20 14:15:22",0.83,"Desktop Support","Thomas Anderson","HP LaserJet 5550","Single Department","Network cable damaged. Replaced cable and tested functionality.","No",0,"Hardware Failure","Office Services","Yes"
INC0010,"Website Error 500","Customer portal returning server error",1,1,Resolved,"Application","Functionality","2024-02-25 10:35:22","2024-02-25 14:25:45",3.84,"Web Development","Michelle Garcia","Web Application Server","Customers","Database connection pool exhausted. Increased pool size and restarted application.","Yes",0,"Capacity","Customer Portal","No"
INC0011,"File Share Access Denied","Users unable to access departmental shared folders",2,2,Resolved,"Storage","Permissions","2024-03-01 15:15:45","2024-03-01 16:40:30",1.41,"Storage Team","Daniel Harris","File Server 02","Single Department","Group policy change affected access rights. Reverted policy change and updated permissions.","No",0,"Change Management","Storage Services","Yes"
INC0012,"Mobile App Crash","Banking mobile app crashes on startup for iOS users",1,2,Resolved,"Application","Mobile","2024-03-07 09:45:30","2024-03-07 15:20:15",5.58,"Mobile Development","Jessica Miller","Mobile Banking App","Customers","Incompatibility with iOS 16.5 update. Released emergency app update.","Yes",2,"Software Bug","Digital Banking","No"
INC0013,"Video Conference Audio Issues","Audio cutting out during important board meeting",3,2,Resolved,"Communication","Video Conferencing","2024-03-12 13:10:25","2024-03-12 14:30:15",1.33,"Unified Communications","Brian Taylor","Zoom Conference System","Executive Team","Bandwidth throttling during peak hours. Allocated dedicated bandwidth for meeting.","No",0,"Network Congestion","Communication Services","Yes"
INC0014,"Password Reset Failure","Automated password reset system not sending emails",2,2,Resolved,"Security","Authentication","2024-03-18 10:25:35","2024-03-18 12:15:40",1.83,"Security Team","Emma Davis","Identity Management System","Multiple Departments","SMTP relay configuration issue. Updated mail server settings.","No",0,"Configuration","Identity Access Management","Yes"
