ID,Title,Description,Date,Status,Severity,Priority,Defect Type,LOB,Source,Resolved Date
F001,Login failure,Users unable to login with correct credentials,2023-05-01,Open,Critical,P1,Authentication,Banking,Rally,
F002,Data not loading,Dashboard data not loading for some users,2023-05-02,In Progress,High,P1,Data,Banking,Rally,
F003,UI alignment issue,Button misaligned on mobile view,2023-05-03,Resolved,Low,P3,UI,Banking,Rally,2023-05-10
F004,Incorrect calculation,Tax calculation showing wrong values,2023-05-04,Open,High,P1,Calculation,Finance,Jira,
F005,Session timeout,Users getting logged out too quickly,2023-05-05,In Progress,Medium,P2,Session,Banking,Jira,
F006,Missing validation,Form submitting without required fields,2023-05-06,Resolved,Medium,P2,Validation,Insurance,Jira,2023-05-15
F007,Slow performance,Report generation taking too long,2023-05-07,Open,High,P2,Performance,Finance,ServiceNow,
F008,Error message unclear,Generic error shown to users,2023-05-08,Resolved,Low,P3,UI,Insurance,ServiceNow,2023-05-12
F009,Data inconsistency,Different values shown in different screens,2023-05-09,Open,Critical,P1,Data,Banking,Rally,
F010,Button not working,Submit button not responding on click,2023-05-10,In Progress,Medium,P2,UI,Finance,Rally,
F011,API timeout,External API call timing out,2023-05-11,Resolved,High,P1,Integration,Banking,Jira,2023-05-20
F012,Incorrect sorting,Table sorting not working correctly,2023-05-12,Open,Low,P3,UI,Insurance,ServiceNow,
F013,Security vulnerability,Password stored in plain text,2023-05-13,In Progress,Critical,P1,Security,Banking,Rally,
F014,Broken link,Help link redirecting to 404 page,2023-05-14,Resolved,Low,P3,UI,Finance,Jira,2023-05-18
F015,Data duplication,Records being duplicated on save,2023-05-15,Open,High,P1,Data,Insurance,ServiceNow,
F016,Incorrect currency,Wrong currency symbol shown,2023-05-16,In Progress,Medium,P2,UI,Banking,Rally,
F017,Memory leak,Application consuming increasing memory,2023-05-17,Resolved,Critical,P1,Performance,Finance,Jira,2023-05-25
F018,Accessibility issue,Screen reader compatibility problem,2023-05-18,Open,Medium,P2,Accessibility,Insurance,ServiceNow,
F019,Incorrect date format,Dates displayed in wrong format,2023-05-19,In Progress,Low,P3,UI,Banking,Rally,
F020,Search not working,Search functionality returning no results,2023-05-20,Resolved,High,P1,Search,Finance,Jira,2023-05-28
F021,Permission issue,Users seeing unauthorized data,2023-05-21,Open,Critical,P1,Security,Insurance,ServiceNow,
F022,Spelling errors,Multiple typos in user interface,2023-05-22,Resolved,Low,P4,UI,Banking,Rally,2023-05-25
F023,Data import failure,CSV import not working,2023-05-23,In Progress,High,P2,Data,Finance,Jira,
F024,Browser compatibility,Issues with Safari browser,2023-05-24,Open,Medium,P2,Compatibility,Insurance,ServiceNow,
F025,Notification not sent,Email notifications not being delivered,2023-05-25,Resolved,Medium,P2,Notification,Banking,Rally,2023-06-01
F026,Incorrect totals,Summary totals not matching detail values,2023-05-26,Open,High,P1,Calculation,Finance,Jira,
F027,Session conflict,Multiple sessions causing data loss,2023-05-27,In Progress,Critical,P1,Session,Insurance,ServiceNow,
F028,Print formatting,Reports not printing correctly,2023-05-28,Resolved,Low,P3,UI,Banking,Rally,2023-06-05
F029,Timeout on large data,Process timing out with large datasets,2023-05-29,Open,High,P2,Performance,Finance,Jira,
F030,Mobile responsiveness,Layout breaks on small screens,2023-05-30,In Progress,Medium,P2,UI,Insurance,ServiceNow,
F031,Data export issue,Excel export missing columns,2023-05-31,Resolved,Medium,P2,Export,Banking,Rally,2023-06-07
F032,Incorrect filtering,Filter not applying correctly,2023-06-01,Open,Low,P3,UI,Finance,Jira,
F033,API rate limiting,Too many API calls causing throttling,2023-06-02,In Progress,High,P1,Integration,Insurance,ServiceNow,
F034,Caching issue,Stale data shown after updates,2023-06-03,Resolved,Medium,P2,Cache,Banking,Rally,2023-06-10
F035,Form reset issue,Form not clearing after submission,2023-06-04,Open,Low,P3,UI,Finance,Jira,
F036,Database deadlock,Concurrent operations causing deadlock,2023-06-05,In Progress,Critical,P1,Database,Insurance,ServiceNow,
F037,Incorrect rounding,Financial calculations rounding incorrectly,2023-06-06,Resolved,High,P1,Calculation,Banking,Rally,2023-06-15
F038,Menu navigation issue,Dropdown menu disappearing too quickly,2023-06-07,Open,Low,P3,UI,Finance,Jira,
F039,File upload limit,File size restriction too small,2023-06-08,In Progress,Medium,P2,Upload,Insurance,ServiceNow,
F040,Audit log incomplete,Some user actions not being logged,2023-06-09,Resolved,High,P1,Audit,Banking,Rally,2023-06-18
F041,Incorrect status update,Status not changing after action,2023-06-10,Open,Medium,P2,Status,Finance,Jira,
F042,Timeout during backup,System backup process timing out,2023-06-11,In Progress,Critical,P1,Backup,Insurance,ServiceNow,
F043,Pagination issue,Next page button not working,2023-06-12,Resolved,Low,P3,UI,Banking,Rally,2023-06-19
F044,Incorrect tax rate,Wrong tax rate applied to transactions,2023-06-13,Open,High,P1,Calculation,Finance,Jira,
F045,SSL certificate error,Certificate validation failing,2023-06-14,In Progress,Critical,P1,Security,Insurance,ServiceNow,
F046,Report formatting,PDF report layout broken,2023-06-15,Resolved,Medium,P2,Reporting,Banking,Rally,2023-06-22
F047,Duplicate user accounts,System creating duplicate user records,2023-06-16,Open,High,P1,User Management,Finance,Jira,
F048,Slow database query,Specific query taking too long,2023-06-17,In Progress,High,P2,Performance,Insurance,ServiceNow,
F049,Incorrect sorting order,Default sort order incorrect,2023-06-18,Resolved,Low,P3,UI,Banking,Rally,2023-06-25
F050,API response format,API returning incorrect JSON format,2023-06-19,Open,Medium,P2,Integration,Finance,Jira,
F051,Authentication bypass,Security vulnerability in login flow,2023-06-20,In Progress,Critical,P1,Security,Banking,Rally,
F052,Data corruption,Database records corrupted after update,2023-06-21,Open,Critical,P1,Data,Insurance,ServiceNow,
F053,Memory overflow,Application crashing with large datasets,2023-06-22,Resolved,High,P1,Performance,Finance,Jira,2023-06-30
F054,Incorrect permissions,Users granted excessive access rights,2023-06-23,In Progress,Critical,P1,Security,Banking,Rally,
F055,API versioning issue,Incompatible API versions causing errors,2023-06-24,Open,High,P1,Integration,Finance,ServiceNow,
F056,Broken image links,Product images not displaying,2023-06-25,Resolved,Medium,P2,UI,Insurance,Jira,2023-07-02
F057,Session hijacking vulnerability,Security issue with session management,2023-06-26,In Progress,Critical,P1,Security,Banking,Rally,
F058,Incorrect tax calculation,Tax rates applied incorrectly,2023-06-27,Open,High,P1,Calculation,Finance,ServiceNow,
F059,Cross-site scripting,XSS vulnerability in search function,2023-06-28,Resolved,Critical,P1,Security,Insurance,Jira,2023-07-05
F060,Data synchronization failure,Backend and frontend data out of sync,2023-06-29,In Progress,High,P1,Data,Banking,Rally,
F061,Payment processing error,Transactions failing intermittently,2023-06-30,Open,Critical,P1,Payment,Finance,ServiceNow,
F062,Slow API response,API endpoints taking too long to respond,2023-07-01,Resolved,High,P1,Performance,Insurance,Jira,2023-07-08
F063,Incorrect currency conversion,Exchange rates applied incorrectly,2023-07-02,In Progress,High,P1,Calculation,Banking,Rally,
F064,Data leakage,Sensitive data visible in logs,2023-07-03,Open,Critical,P1,Security,Finance,ServiceNow,
F065,UI rendering issue,Components not rendering correctly,2023-07-04,Resolved,Medium,P2,UI,Insurance,Jira,2023-07-10
F066,Database connection timeout,Intermittent database connectivity issues,2023-07-05,In Progress,High,P1,Database,Banking,Rally,
